"authors","year","title","source_title","publisher","volume","issue","start_page","end_page","doi","Lens_refs","Lens_cited"
"Abdalla, Mohamed; Osborne, Bruce; Lanigan, Gary; Forristal, Dermot; Williams, Michael; Smith, Pete; Jones, Michael B.",2013,"Conservation tillage systems: a review of its consequences for greenhouse gas emissions","Soil Use and Management","Wiley","29","2","199","209","10.1111/sum.12030",126,70
"Abberton, Michael",2013,"Greenhouse Gas Emissions","Genomics and Breeding for Climate-Resilient Crops","Springer Berlin Heidelberg",NA,NA,"457","474","10.1007/978-3-642-37048-9_13",90,NA
